iter	Passed	Remaining
601	212077	140210
602	212382	139827
603	212702	139453
604	213023	139081
605	213385	138736
606	213693	138355
607	213977	137959
608	214282	137576
609	214591	137197
610	214899	136818
611	215212	136441
612	215533	136070
613	215821	135679
614	216147	135312
615	216458	134935
616	216802	134579
617	217193	134252
618	217537	133896
619	217885	133542
620	218271	133212
621	218574	132831
622	219026	132540
623	219405	132206
624	219708	131825
625	220078	131484
626	220519	131186
627	220854	130824
628	221182	130458
629	221500	130087
630	221828	129722
631	222147	129351
632	222494	128997
633	222804	128622
634	223107	128243
635	223390	127852
636	223699	127477
637	224037	127118
638	224368	126755
639	224670	126377
640	224984	126005
641	225287	125627
642	225573	125240
643	225863	124856
644	226198	124496
645	226483	124109
646	226774	123726
647	227071	123347
648	227901	123256
649	228315	122939
650	228674	122592
651	229005	122229
652	229341	121870
653	229662	121503
654	229995	121142
655	230349	120793
656	230659	120420
657	230960	120043
658	231303	119688
659	231654	119337
660	231963	118964
661	232315	118614
662	232628	118243
663	232948	117877
664	233267	117510
665	233566	117133
666	233881	116765
667	234181	116389
668	234485	116016
669	234826	115660
670	235152	115298
671	235512	114952
672	235802	114572
673	236117	114205
674	236414	113829
675	236730	113462
676	237027	113087
677	237345	112721
678	237698	112372
679	237994	111997
680	238317	111634
681	238656	111279
682	238975	110915
683	239284	110546
684	239612	110186
685	239937	109825
686	240288	109476
687	240664	109138
688	241015	108789
689	241352	108433
690	241691	108079
691	242001	107711
692	242309	107343
693	242631	106981
694	242914	106602
695	243215	106232
696	243499	105854
697	243781	105475
698	244082	105105
699	244417	104750
700	244738	104389
701	245030	104015
702	245353	103655
703	245661	103289
704	245937	102910
705	246238	102541
706	246511	102161
707	246805	101789
708	247077	101409
709	247383	101043
710	247670	100670
711	247949	100294
712	248230	99918
713	248509	99543
714	248807	99175
715	249098	98804
716	249399	98438
717	249722	98080
718	250027	97716
719	250353	97359
720	250682	97004
721	251004	96646
722	251325	96289
723	251624	95923
724	251963	95572
725	252269	95209
726	252561	94841
727	252864	94476
728	253241	94140
729	253547	93777
730	253885	93427
731	254188	93063
732	254483	92697
733	254795	92337
734	255088	91970
735	255431	91622
736	255741	91261
737	256081	90912
738	256377	90547
739	256685	90186
740	256985	89823
741	257294	89463
742	257602	89103
743	257901	88740
744	258230	88387
745	258539	88028
746	258832	87663
747	259142	87304
748	259412	86932
749	259706	86568
750	260011	86208
751	260329	85853
752	260613	85486
753	260896	85120
754	261188	84756
755	261534	84410
756	261831	84049
757	262135	83689
758	262411	83321
759	262702	82958
760	262976	82590
761	263259	82225
762	263573	81870
763	263846	81502
764	264135	81139
765	264416	80774
766	264697	80410
767	264995	80050
768	265308	79696
769	265637	79346
770	265935	78987
771	266245	78632
772	266555	78276
773	266871	77923
774	267200	77574
775	267504	77217
776	267779	76853
777	268096	76500
778	268406	76146
779	268733	75796
780	269038	75440
781	269430	75109
782	269716	74748
783	270026	74395
784	270370	74050
785	270674	73695
786	270969	73337
787	271263	72979
788	271549	72619
789	271853	72264
790	272149	71908
791	272437	71549
792	272724	71190
793	273072	70847
794	273610	70553
795	274094	70245
796	274396	69890
797	274815	69564
798	275230	69238
799	275540	68885
800	275851	68532
801	276215	68192
802	276526	67840
803	276952	67515
804	277341	67182
805	277673	66834
806	277953	66474
807	278268	66123
808	278573	65769
809	278862	65412
810	279151	65055
811	279427	64694
812	279726	64340
813	280033	63987
814	280321	63631
815	280633	63280
816	280928	62925
817	281222	62570
818	281501	62212
819	281804	61859
820	282088	61502
821	282371	61146
822	282652	60789
823	282957	60437
824	283273	60088
825	283563	59733
826	283855	59379
827	284142	59024
828	284439	58672
829	284732	58318
830	285044	57969
831	285378	57624
832	285685	57274
833	285976	56921
834	286295	56573
835	286595	56222
836	286882	55868
837	287173	55515
838	287526	55174
839	287855	54829
840	288175	54482
841	288483	54133
842	288786	53783
843	289090	53433
844	289382	53081
845	289663	52728
846	289943	52374
847	290248	52025
848	290538	51674
849	290839	51324
850	291180	50982
851	291493	50635
852	291808	50288
853	292099	49937
854	292417	49591
855	292725	49243
856	293036	48896
857	293333	48547
858	293683	48206
859	293983	47857
860	294307	47513
861	294603	47163
862	294882	46812
863	295184	46464
864	295487	46116
865	295784	45768
866	296060	45416
867	296342	45065
868	296655	44720
869	296948	44371
870	297244	44023
871	297542	43675
872	297821	43325
873	298128	42979
874	298423	42631
875	298726	42285
876	299019	41937
877	299294	41587
878	299586	41240
879	299896	40894
880	300208	40550
881	300495	40202
882	300788	39855
883	301078	39508
884	301356	39159
885	301710	38820
886	302008	38474
887	302275	38124
888	302537	37774
889	302832	37428
890	303128	37083
891	303439	36739
892	303747	36395
893	304047	36050
894	304362	35707
895	304662	35362
896	304957	35017
897	305273	34674
898	305563	34329
899	305854	33983
900	306138	33637
901	306430	33292
902	306729	32948
903	307019	32603
904	307297	32257
905	307577	31911
906	307866	31567
907	308145	31221
908	308444	30878
909	308725	30533
910	309033	30191
911	309326	29847
912	309608	29502
913	309967	29165
914	310269	28822
915	310547	28478
916	310868	28137
917	311161	27794
918	311457	27451
919	311747	27108
920	312035	26765
921	312327	26422
922	312618	26079
923	313288	25768
924	313594	25426
925	313980	25091
926	314284	24749
927	314594	24408
928	314895	24066
929	315213	23725
930	315541	23385
931	315847	23044
932	316137	22702
933	316435	22360
934	316741	22019
935	317032	21677
936	317351	21337
937	317656	20996
938	317942	20654
939	318232	20312
940	318535	19971
941	318862	19632
942	319177	19292
943	319473	18951
944	319761	18610
945	320041	18268
946	320344	17928
947	320646	17588
948	320951	17248
949	321244	16907
950	321544	16567
951	321820	16226
952	322135	15887
953	322425	15546
954	322719	15206
955	323026	14867
956	323305	14526
957	323594	14186
958	323893	13847
959	324210	13508
960	324507	13169
961	324823	12830
962	325123	12491
963	325427	12152
964	325730	11814
965	326046	11475
966	326366	11137
967	326664	10798
968	327036	10462
969	327327	10123
970	327623	9784
971	327897	9445
972	328172	9106
973	328461	8767
974	328740	8429
975	329066	8091
976	329361	7753
977	329651	7415
978	329929	7077
979	330249	6739
980	330543	6401
981	330817	6063
982	331138	5726
983	331419	5388
984	331703	5051
985	331975	4713
986	332266	4376
987	332538	4038
988	332821	3701
989	333102	3364
990	333395	3027
991	333698	2691
992	333981	2354
993	334269	2017
994	334570	1681
995	334858	1344
996	335209	1008
997	335516	672
998	335797	336
999	336097	0
